name,icon,class,cost,strength,health,tribe,trait,type,rarity,set,description
Monkey Smuggler,Monkey_SmugglerH.webp,Sneaky,2,2,3,"Pet, Pirate",Gravestone,Zombie,Uncommon,Triassic,Piracy is serious monkey business.
Monster Mash,Monster_MashH.webp,Hearty,5,,,"Monster, Party",,Trick,Rare,Premium,Zombies never feel more alive than when they're dancing.
Moon Base Z,Moon_Base_ZH.webp,Crazy,3,,,"Science, Barrel",Overshoot,Environment,Super-Rare,Galactic,"Zombies landed on the Moon? Many believe it's nothing but a conspiracy theory, and yet, here's the proof."
Moonwalker,MoonwalkerH.webp,Brainy,3,2,2,"Dancing, Science",,Zombie,Uncommon,Galactic,"That's one small nibble for Zombies, one giant bite for Zombiekind."
Mountain Climber,Mountain_ClimberH.webp,Brainy,4,2,2,Sports,Bullseye,Zombie,Uncommon,Premium,She's climbed 'em all: Everest. K2. Your house.
Mustache Monument,Mustache_MonumentH.webp,Brainy,3,1,5,"History, Mustache","Fusion, Bonus Attack",Zombie,Rare,Triassic,"If Neptuna's Triassic Invasion force can align all of Hollow Earth's Mustache Monuments at once, she will become truly unstoppable."
Mustache Waxer,Mustache_WaxerH.webp,Brainy,1,2,2,"Professional, Mustache",,Zombie,Uncommon,Triassic,"Customers have been telling him ""Get a brain"" for years now."
Mystery Egg,Mystery_EggH.webp,Crazy,1,0,2,Gourmet,,Zombie,Uncommon,Colossal,"""Mommy, where do little Zombies come from?"" Asked and answered."
Neutron Imp,Neutron_ImpH.webp,Brainy,1,2,2,"Science, Imp",Bonus Attack,Zombie,Super-Rare,Galactic,"He's not small, he's just very compact."
Newspaper Zombie,Newspaper_ZombieH.webp,Crazy,2,1,4,Professional,Gravestone,Zombie,Uncommon,Premium,Newspapers are an undead medium.
Nibble,NibbleH.webp,Beastly,1,,,Gourmet,Conjure,Trick,Uncommon,Premium,Just a quick bite.
Nurse Gargantuar,Nurse_GargantuarH.webp,Beastly,7,6,6,"Professional, Gargantuar",Heal,Zombie,Legendary,Premium,Their bedside manner could use some work.
Octo Zombie,Octo_ZombieH.webp,Beastly,8,8,8,Pet,"Amphibious, Frenzy",Zombie,Legendary,Premium,"Is the correct term 'octopuses' or 'octopi'? You'd think he'd have an opinion, but he doesn't."
Octo-Pet,Octo-PetH.webp,"Hearty, Sneaky",3,3,2,Pet,"Amphibious, Frenzy",Zombie,Token,Token,"It's slimy, beady-eyed, and it leaves ink splotches wherever it goes. Neptuna loves it all the same."
Octo-Pult,Octo-PultH.webp,"Hearty, Sneaky",1,,,"Pet, Superpower","Amphibious, Frenzy",Trick,Legendary,Premium,Octopus incoming! Two words a Plant never wants to hear.
Orchestra Conductor,Orchestra_ConductorH.webp,Crazy,4,2,2,"Dancing, History",,Zombie,Uncommon,Premium,He isn't in it for the music. He just likes waving sticks.
Overstuffed Zombie,Overstuffed_ZombieH.webp,Beastly,4,4,4,"Gourmet, Mustache","Hunt, Heal",Zombie,Event,Event,"His cholesterol level is off the charts, and yet he seems to be in remarkably good Health."
Paparazzi Zombie,Paparazzi_ZombieH.webp,Brainy,1,1,1,"Professional, Party",,Zombie,Common,Basic,Why is everyone always screaming and running away in his photos?
Parasol Zombie,Parasol_ZombieH.webp,Brainy,4,3,6,Party,Untrickable,Zombie,Super-Rare,Colossal,Her favorite author is Brain Austen.
Pied Piper,Pied_PiperH.webp,Beastly,2,2,1,"Dancing, Pet",Gravestone,Zombie,Common,Basic,He was told that playing the pipe would summon raccoons. But whatevs.
Planetary Gladiator,Planetary_GladiatorH.webp,Hearty,1,1,3,"Sports, Professional",Armored,Zombie,Super-Rare,Galactic,He's still not sure if he should defend Pluto or not.
Pogo Bouncer,Pogo_BouncerH.webp,Sneaky,4,2,2,Sports,"Gravestone, Bounce",Zombie,Super-Rare,Premium,"Not the most efficient mode of transportation, but definitely the most fun."
Pool Shark,Pool_SharkH.webp,Brainy,2,3,1,"Mustache, Sports",Bullseye,Zombie,Uncommon,Premium,Not actually a shark.
Portal Technician,Portal_TechnicianH.webp,Brainy,5,5,4,"Mustache, Science",,Zombie,Super-Rare,Premium,"Soon everyone will own their own portal. But for now, he enjoys being an early adopter."
Possessed,PossessedH.webp,Hearty,1,,,Superpower,Frenzy,Trick,Super-Rare,Superpower,There's nothing like a good possession to perk a Zombie up.
Pot of Gold,Pot_of_GoldH.webp,Brainy,1,,,,Draw,Trick,Token,Token,The luck of the Zombies!
Primeval Yeti,Primeval_YetiH.webp,Hearty,5,4,4,"Pet, Monster",Evolution,Zombie,Rare,Colossal,What's for lunch? Mostly solid stone.
Primordial Cheese Shover,Primordial_Cheese_ShoverH.webp,Beastly,4,4,4,"Gourmet, History",Evolution,Zombie,Rare,Colossal,He's wheely cheesy.
Quarterly Bonus,Quarterly_BonusH.webp,Brainy,4,,,"Barrel, Professional",Bonus Attack,Trick,Uncommon,Triassic,Zombie Pirates kick a lot of booty. Maybe someday they'll figure how to spend it.
Quasar Wizard,Quasar_WizardH.webp,Crazy,2,2,2,Mustache,Conjure,Zombie,Legendary,Galactic,You can call him Quazard for short.
Quickdraw Con Man,Quickdraw_Con_ManH.webp,Crazy,1,1,3,Monster,Bullseye,Zombie,Super-Rare,Colossal,How did he know the Plants were coming? Because four-armed is forewarned.
Ra Zombie,Ra_ZombieH.webp,Hearty,5,3,4,"History, Pet",,Zombie,Uncommon,Premium,Some nights sundown comes early...
Raiding Raptor,Raiding_RaptorH.webp,Sneaky,3,2,4,"History, Pet","Dino-Roar, Conjure",Zombie,Legendary,Triassic,Amazomb helmets mostly protect their ears from all the roaring.
Regifting Zombie,Regifting_ZombieH.webp,Brainy,3,3,2,"Party, Pirate",Conjure,Zombie,Event,Event,Regifting: Is it really an embarrassing social faux pas? Or is it just good ol' recycling?
Rock Wall,Rock_WallH.webp,Hearty,1,,,Superpower,,Trick,Super-Rare,Superpower,"Better than a wall of scissors, but worse than a wall of paper."
Rocket Science,Rocket_ScienceH.webp,Brainy,3,,,"Science, Barrel",,Trick,Super-Rare,Premium,"Turns out, it IS rocket science."
Rodeo Gargantuar,Rodeo_GargantuarH.webp,Hearty,7,5,9,"Sports, Gargantuar",Gravestone,Zombie,Rare,Premium,"Why yes, this IS his first rodeo."
Rolling Stone,Rolling_StoneH.webp,Hearty,1,,,,,Trick,Basic,Common,"Gives new meaning to the phrase ""rock n' roll""."
Screen Door Zombie,Screen_Door_ZombieH.webp,Hearty,5,4,4,Professional,Gravestone,Zombie,Uncommon,Galactic,Little known fact: He carries a door to protect himself from solar radiation.
Secret Agent,Secret_AgentH.webp,Beastly,1,,,Professional,Bounce,Trick,Event,Event,"He likes his brains shaken, not stirred."
Shieldcrusher Viking,Shieldcrusher_VikingH.webp,Brainy,5,7,5,"Mustache, Pirate",Bullseye,Zombie,Legendary,Premium,Been crushing shields since the 9th Century. Has gotten pretty darn good at it.
Shrink Ray,Shrink_RayH.webp,"Brainy, Hearty",1,,,"Science, Superpower",Draw,Trick,Legendary,Premium,Rustbolt gets a kick out of belittling Plants.
Skunk Punk,Skunk_PunkH.webp,Beastly,1,1,1,Pet,,Zombie,Common,Basic,"Smelly Zombie is the only zombie who really gets him, you know?"
Slammin Smackdown,Slammin_SmackdownH.webp,"Hearty, Beastly",1,,,"Gargantuar, Superpower",,Trick,Legendary,Premium,The Smash's wrestling moves are real all right. Too real. Just ask any Plant.
Smashing Gargantuar,Smashing_GargantuarH.webp,Beastly,5,5,5,Gargantuar,Frenzy,Zombie,Rare,Premium,"When he phones home, it means something completely different."
Smelly Zombie,Smelly_ZombieH.webp,Sneaky,3,2,4,Pet,"Gravestone, Deadly",Zombie,Basic,Common,Casual acquaintances don't understand where his pets are. They don't realize that stinkflies can be such tender little friends.
Smoke Bomb,Smoke_BombH.webp,Sneaky,1,,,,,Trick,Basic,Common,Good for eluding the enemy. Bad for the lungs.
Sneezing Zombie,Sneezing_ZombieH.webp,Beastly,4,2,4,Party,,Zombie,Event,Event,Flowers give her awful allergies and sickening sneezes. Is that why she wears one on her head?
Snorkel Zombie,Snorkel_ZombieH.webp,Beastly,2,2,1,Party,Amphibious,Zombie,Uncommon,Premium,Breathing out: check. Breathing in? Not so much.
Space Cadet,Space_CadetH.webp,Brainy,2,2,3,Science,,Zombie,Token,Token,"His body is in space, but his head is in the clouds."
Space Cowboy,Space_CowboyH.webp,Sneaky,4,3,5,"Imp, Pet","Strikethrough, Amphibious",Zombie,Legendary,Galactic,Only in the big wide sky will he find Serenity.
Space Ninja,Space_NinjaH.webp,Crazy,2,3,2,Professional,,Zombie,Uncommon,Galactic,You will never hear him coming in the vacuum of space.
Space Pirate,Space_PirateH.webp,Sneaky,3,3,2,"Pet, Pirate",Anti-Hero,Zombie,Rare,Galactic,"At first he just dabbled in space piracy, but then he got hooked."
Squirrel Herder,Squirrel_HerderH.webp,Beastly,2,2,2,"Pet, Professional",Gravestone,Zombie,Rare,Premium,The only thing more difficult than herding cats.
Stayin Alive,Stayin_AliveH.webp,"Beastly, Crazy",1,,,"Dancing, Superpower",Heal,Trick,Legendary,Premium,"For Electric Boogaloo, ""alive"" is a relative term."
Stealthy Imp,Stealthy_ImpH.webp,Sneaky,3,2,2,"Pirate, Imp","Gravestone, Anti-Hero",Zombie,Uncommon,Premium,"Don't look, but there's one behind you right now!"
Stompadon,StompadonH.webp,Hearty,2,2,4,"History, Pet",Dino-Roar,Zombie,Legendary,Colossal,"With a cerebellum the size of a Wall-Nut, it specializes in oversized bodies for little brains."
Stupid Cupid,Stupid_CupidH.webp,Crazy,4,4,2,Imp,,Zombie,Event,Event,"What's love got to do with it? Honestly, he has no idea."
Sugary Treat,Sugary_TreatH.webp,Crazy,2,,,Gourmet,,Trick,Uncommon,Colossal,Tooth decay: Not exactly a big concern for Zombies.
Summoning,SummoningH.webp,Brainy,1,,,Superpower,,Trick,Super-Rare,Superpower,It's like a blind date... but with Zombies... and fighting.
Sumo Wrestler,Sumo_WrestlerH.webp,Hearty,2,2,3,Sports,Gravestone,Zombie,Rare,Premium,"Hey, he's in shape. Round is a shape."
Super Stench,Super_StenchH.webp,Sneaky,1,,,Superpower,"Draw, Deadly",Trick,Super-Rare,Superpower,That's the smell of victory!
Supernova Gargantuar,Supernova_GargantuarH.webp,Beastly,5,5,7,"Science, Gargantuar",Frenzy,Zombie,Legendary,Galactic,This one's got a real temper on him. When he decides to take out a Plant...it's brutal. Just brutal.
Surfer Zombie,Surfer_ZombieH.webp,Beastly,4,4,3,"Party, Sports","Amphibious, Frenzy",Zombie,Uncommon,Galactic,"He used to hang 10 with the best of them, but ever since he lost that toe to a shark he hasn't been able to hang more than 9."
Surprise Gargantuar,Surprise_GargantuarH.webp,Sneaky,5,5,6,"Party, Gargantuar",Gravestone,Zombie,Rare,Premium,Surprise! It's a brains-eating monster at your party!
Swabbie,SwabbieH.webp,Sneaky,0,1,1,"Imp, Pirate",Amphibious,Zombie,Uncommon,Colossal,"When he's not fighting Plants, you'll find him swabbing the Zombot Plank Walker's poop deck."
Swashbuckler Zombie,Swashbuckler_ZombieH.webp,Sneaky,2,2,2,Pirate,Gravestone,Zombie,Uncommon,Premium,Buckles his swash like no other.
Synchronized Swimmer,Synchronized_SwimmerH.webp,Beastly,2,2,1,"Dancing, Sports",Amphibious,Zombie,Event,Event,It takes a lot of practice for two Zombies' heads to fall off at the exact same time.
Tankylosaurus,TankylosaurusH.webp,Crazy,4,2,6,"History, Pet",Dino-Roar,Zombie,Legendary,Colossal,"When not exploring Hollow Earth's jungles, they like to go clubbing."
Team Mascot,Team_MascotH.webp,Hearty,3,1,4,"Sports, Imp",,Zombie,Basic,Common,Say what you will about the costume - Zombie morale has never been better.
Telepathy,TelepathyH.webp,Brainy,1,,,Superpower,Draw,Trick,Super-Rare,Superpower,You're thinking of a number between 1 and braaaaains.
Teleport,TeleportH.webp,Brainy,1,,,Science,Draw,Trick,Legendary,Premium,Feels like cheating.
Teleportation Station,Teleportation_StationH.webp,Brainy,1,,,"Science, Superpower",Conjure,Environment,Super-Rare,Superpower,"Teleportation is a relatively new technology. Has a few kinks that need ironing out. So yeah, sometimes things get a little...mixed up."
Teleportation Zombie,Teleportation_ZombieH.webp,Brainy,2,1,5,Science,"Gravestone, Bullseye",Zombie,Legendary,Galactic,The phone cord stretches to another dimension.
Tennis Champ,Tennis_ChampH.webp,Crazy,1,1,1,Sports,,Zombie,Uncommon,Premium,"When it's Plants vs. Zombies, the score is never love-love."
Terrify,TerrifyH.webp,Hearty,2,,,,Conjure,Trick,Uncommon,Premium,Just a disembodied Zombie head screaming uncontrollably. Nope. Nothing terrifying about that.
Terror-Fromer 10000,Terror-Fromer_10000H.webp,"Brainy, Sneaky",1,,,"Science, Imp, Superpower",Conjure,Trick,Legendary,Premium,This is Huge-Gigantacus' greatest invention ever. It's also his only invention. But it's best not to point that out to him.
The Chickening,The_ChickeningH.webp,Crazy,4,,,"Pet, Monster",,Trick,Rare,Premium,So. Many. Feathers.
Thinking Cap,Thinking_CapH.webp,Brainy,4,,,Gourmet,Conjure,Trick,Event,Event,Only the best and the brainiest University Zombies graduate to using full-fledged Superpowers.
Tomb Raiser Zombie,Tomb_Raiser_ZombieH.webp,Sneaky,4,5,3,History,Gravestone,Zombie,Super-Rare,Premium,He's good at making friends.
Total Eclipse,Total_EclipseH.webp,Beastly,2,,,,,Environment,Uncommon,Galactic,Zombies love a good eclipse. They usually celebrate by eating Plants. And brains.
Toxic Waste Imp,Toxic_Waste_ImpH.webp,Sneaky,2,2,2,"Barrel, Imp","Deadly, Amphibious",Zombie,Super-Rare,Premium,All the radioactive glow... none of the super powers.
Transformation Station,Transformation_StationH.webp,Brainy,2,,,Science,,Environment,Super-Rare,Galactic,"According to the Transformation Station brochure, every Zombie who visits is guaranteed to shuffle away feeling like a brand new Zombie."
Trapper Territory,Trapper_TerritoryH.webp,Crazy,1,,,Gourmet,,Environment,Uncommon,Triassic,Plants do not like feeling trapped. Can you blame them?
Trapper Zombie,Trapper_ZombieH.webp,Sneaky,4,3,3,"Pet, Mustache",Gravestone,Zombie,Event,Event,Purveyor of only the finest banana peel coats.
Trash Can Zombie,Trash_Can_ZombieH.webp,Hearty,3,2,3,"Professional, Barrel",Gravestone,Zombie,Uncommon,Premium,It's dark and quiet in there. He finds it soothing. That's what no one gets.
Trick-or-Treater,Trick-or-TreaterH.webp,Brainy,3,2,4,"Gourmet, Party","Gravestone, Conjure",Zombie,Event,Event,Trick or Treat? He is haunted by that question - and by an answer that continues to elude him.
Trickster,TricksterH.webp,Brainy,10,6,6,Party,Bonus Attack,Zombie,Legendary,Premium,Never gets tired of the rubber chicken gag.
Triple Threat,Triple_ThreatH.webp,"Sneaky, Crazy",1,,,"Imp, Superpower",,Trick,Legendary,Premium,That's how you get Imps.
Triplication,TriplicationH.webp,Brainy,4,,,"Imp, Gargantuar",Conjure,Trick,Rare,Galactic,"An Imp, a Zombie, and Gargantuar walk into a bar..."
Turkey Rider,Turkey_RiderH.webp,Hearty,2,2,2,"Imp, Pet",Conjure,Zombie,Event,Event,"He insists that, as far as modes of transportation go, turkeys outperform dolphins, walruses, and kangaroos any day."
Turquoise Skull Zombie,Turquoise_Skull_ZombieH.webp,Hearty,4,2,6,"Professional, Mustache",Gravestone,Zombie,Super-Rare,Triassic,"The mystical Turquoise Skull stole the sun itself, lighting the way to the Mustache Monuments."
Undying Pharaoh,Undying_PharaohH.webp,Hearty,6,4,6,History,Armored,Zombie,Legendary,Premium,"If the Plants think they're going to beat the Undying Pharaoh, they're in de-Nile."
Unexpected Gifts,Unexpected_GiftsH.webp,Crazy,3,,,Party,Conjure,Trick,Event,Event,"""For the 4th day of Feastivus, my true love gave to me: 1 Fire Rooster, 1 Sneezing Zombie, 1 Bad Moon Rising, and a partridge in a Pear Tree!"""
Unlife of the Party,Unlife_of_the_PartyH.webp,Crazy,1,1,1,"Dancing, Party",,Zombie,Uncommon,Premium,His archenemy is the Wall-Flower.
Unthawed Viking,Unthawed_VikingH.webp,Sneaky,4,4,3,Pirate,"Freeze, Evolution, Amphibious",Zombie,Super-Rare,Triassic,What's the best way to cross the ocean? Freeze it first. How hard could it be?
Valkyrie,ValkyrieH.webp,Crazy,4,0,6,"Dancing, History",,Zombie,Legendary,Premium,"It's not easy hitting those high notes when all you can sing is, ""Braaaaains."""
Vengeful Cyborg,Vengeful_CyborgH.webp,Beastly,5,5,6,Science,Hunt,Zombie,Uncommon,Triassic,His toupee went missing in the heat of battle and he's been furious about it ever since.
Vimpire,VimpireH.webp,Beastly,3,2,3,"Monster, Imp",Frenzy,Zombie,Rare,Premium,He vants to suck your chlorophyll.
Vitamin Z,Vitamin_ZH.webp,Beastly,3,,,Gourmet,,Trick,Rare,Premium,"Side effects include headaches, blurred vision, and insatiable hunger."
Walrus Rider,Walrus_RiderH.webp,Sneaky,5,3,4,"Imp, Pet","Anti-Hero, Amphibious",Zombie,Rare,Premium,"A walrus seemed the obvious choice. After all, horses don't go on land *and* water."
Wannabe Hero,Wannabe_HeroH.webp,Hearty,7,6,1,Gargantuar,Frenzy,Zombie,Legendary,Premium,He has Super Brainz stickers all over his binder.
Weed Spray,Weed_SprayH.webp,Hearty,3,,,,,Trick,Super-Rare,Premium,Act now! Rids your lawn of pesky weeds... and Peashooters and Sunflowers. Also Wall-Nuts.
Witchs Familiar,Witchs_FamiliarH.webp,"Brainy, Beastly",1,,,"Pet, Superpower","Amphibious, Draw",Trick,Legendary,Premium,"Immorticia was cleaning her belfry when, lo and behold, she found bats in there."
Wizard Gargantuar,Wizard_GargantuarH.webp,Brainy,6,5,6,"Mustache, Gargantuar",Bullseye,Zombie,Rare,Premium,"A wizard did it. An enormous, green, Zombie wizard."
Wormhole Gatekeeper,Wormhole_GatekeeperH.webp,Brainy,3,2,5,Science,Conjure,Zombie,Super-Rare,Galactic,"""Stand here and guard this gate with your unlife,"" she was told. And that's what she's been doing ever since."
Yeti Lunchbox,Yeti_LunchboxH.webp,Beastly,1,,,"Gourmet, Pet",,Trick,Uncommon,Premium,What's inside? A peanut butter and brains sandwich... with the crusts cut off.
Zom-Bats,Zom-BatsH.webp,"Brainy, Beastly",3,2,2,Pet,"Amphibious, Draw",Zombie,Token,Token,Like Chihuahuas with wings... and fangs... and a taste for Plants.
Zom-Blob,Zom-BlobH.webp,Brainy,3,2,5,Monster,Evolution,Zombie,Rare,Colossal,This is why you shouldn't drink primordial soup.
Zombie Chicken,Zombie_ChickenH.webp,Sneaky,1,2,2,Pet,,Zombie,Uncommon,Premium,"Question: Which came first, the Chicken or the egg? Answer: The Zombie!"
Zombie Coach,Zombie_CoachH.webp,Hearty,4,3,3,"Mustache, Sports",,Zombie,Rare,Premium,"There's no ""i"" in Zombee!"
Zombie High Diver,Zombie_High_DiverH.webp,Sneaky,3,3,2,"Mustache, Sports",Gravestone,Zombie,Event,Event,He used to be afraid of heights... and water. True story.
Zombie King,Zombie_KingH.webp,Hearty,4,3,6,"Mustache, History",,Zombie,Legendary,Premium,"Contrary to popular opinion, it's just OK to be king."
Zombie Middle Manager,Zombie_Middle_ManagerH.webp,Hearty,1,1,2,Professional,Conjure,Zombie,Uncommon,Colossal,"Like most managers, bringing pain to his employees gives him strength."
Zombie Yeti,Zombie_YetiH.webp,Beastly,3,3,3,"Pet, Monster","Conjure, Bounce",Zombie,Super-Rare,Premium,Enjoys warm hugs.
Zombies Best Friend,Zombies_Best_FriendH.webp,Crazy,2,2,1,Pet,,Zombie,Super-Rare,Triassic,"""What counts is not necessarily the size of the dog in the fight; it's the size of the fight in the dog."" - Wight Z. Diesenhower"
Zombology Teacher,Zombology_TeacherH.webp,Hearty,1,2,1,"Professional, Science",,Zombie,Event,Event,"""If you don't pay attention in class, you'll never improve your brains..."""
Zombot 1000,Zombot_1000H.webp,Beastly,9,9,9,"Science, Gargantuar",Gravestone,Zombie,Legendary,Premium,The first 999 Zombots are now considered classics.
Zombot Aerostatic Gondola,Zombot_Aerostatic_GondolaH.webp,Sneaky,6,5,6,"Science, Pirate",Amphibious,Zombie,Legendary,Colossal,"These pirates hit hard, then escape at 3 miles per hour."
Zombot Battlecruiser 5000,Zombot_Battlecruiser_5000H.webp,Hearty,6,6,6,"Science, Barrel",Gravestone,Zombie,Legendary,Galactic,Not space legal in 35 different galaxies.
Zombot Dinotronic Mechasaur,Zombot_Dinotronic_MechasaurH.webp,Brainy,7,8,8,"Science, Pet","Dino-Roar, Bullseye",Zombie,Legendary,Triassic,"What's better than a dinosaur? A gigantic, metal, laser monster that gates in four more dinosaurs."
Zombot Drone Engineer,Zombot_Drone_EngineerH.webp,Brainy,2,1,4,"Mustache, Science",Gravestone,Zombie,Uncommon,Premium,He's not entirely sure how to fly this thing.
Zombot Plank Walker,Zombot_Plank_WalkerH.webp,Sneaky,8,6,6,"Pirate, Science","Amphibious, Strikethrough",Zombie,Legendary,Premium,"Deploying Pirates here, there and everywhere."
Zombot Sharktronic Sub,Zombot_Sharktronic_SubH.webp,Sneaky,6,5,5,"Science, Pet",Amphibious,Zombie,Legendary,Premium,Ever dream of piloting a giant shark robot? Join Dr. Zomboss now!
Zombot Stomp,Zombot_StompH.webp,Sneaky,6,,,"Science, Gargantuar",Bounce,Trick,Rare,Premium,Don't make him put his foot down!
Zombots Wrath,Zombots_WrathH.webp,Crazy,2,,,"Science, Gargantuar",,Trick,Rare,Premium,Dr. Zomboss believes that there's no problem that can't be solved by a giant robot.
Zookeeper,ZookeeperH.webp,Beastly,2,1,3,"Pet, Professional",,Zombie,Common,Basic,Snaaaaake!
