name,icon,class,cost,strength,health,tribe,trait,type,rarity,set,description
Sappy Place,Sappy_PlaceH.webp,Smarty,4,,,,,Environment,Token,Token,Zombies just hate a sappy ending.
Savage Spinach,Savage_SpinachH.webp,Mega-Grow,4,3,6,Leafy,Evolution,Plant,Super-Rare,Triassic,
Scorched Earth,Scorched_EarthH.webp,Solar,1,,,Superpower,,Trick,Super-Rare,Superpower,Unfortunately the Zombies were all out of SPF 9000.
Sea-Shroom,Sea-ShroomH.webp,Guardian,1,2,2,Mushroom,Amphibious,Plant,Uncommon,Premium,Teaches swimming lessons to disadvantaged Plants in his spare time.
Seedling,SeedlingH.webp,Kabloom,2,0,2,Seed,,Plant,Common,Basic,It's the tiny seed of a... nobody actually knows.
Sergeant Strongberry,Sergeant_StrongberryH.webp,Kabloom,4,4,3,Berry,,Plant,Super-Rare,Premium,"He's intense, sure. But he just wants the berries to be all they can be."
Shamrocket,ShamrocketH.webp,Guardian,3,,,"Leafy, Pinecone",,Trick,Event,Event,"The bigger they are, the harder they go boom."
Shelf Mushroom,Shelf_MushroomH.webp,Kabloom,2,2,2,"Mushroom, Berry",Fusion,Plant,Rare,Triassic,"Legends of Hollow Earth whisper that if you stack up enough Shelf Mushrooms, you'll eventually reach the Surface World."
Shellery,ShelleryH.webp,Smarty,1,2,1,Leafy,Team-Up,Plant,Uncommon,Premium,
Shooting Starfruit,Shooting_StarfruitH.webp,Smarty,5,2,2,Fruit,,Plant,Legendary,Galactic,
Shrinking Violet,Shrinking_VioletH.webp,Smarty,4,,,Flower,,Trick,Super-Rare,Triassic,
Shroom for Two,Shroom_for_TwoH.webp,Kabloom,1,1,1,Mushroom,,Plant,Rare,Premium,"Shrooms, bless their hearts, always wanting to cuddle up cuddly-like."
Sizzle,SizzleH.webp,Kabloom,3,,,,,Trick,Uncommon,Premium,Incredibly hot and full of electricity. So much ouch.
Skyshooter,SkyshooterH.webp,Mega-Grow,4,3,3,Pea,,Plant,Uncommon,Premium,The youngest Peashooter ever to earn a pilot's license. Also the only Peashooter ever to earn a pilot's license.
Smackadamia,SmackadamiaH.webp,Guardian,5,4,5,Nut,Amphibious,Plant,Rare,Premium,Smackadamia wasn't born with smack smarts. He studied hard. He's a smackademic.
Small-Nut,Small-NutH.webp,Guardian,1,1,1,Nut,,Plant,Common,Basic,"A violin virtuoso, Small-Nut began taking lessons when he was still in the shell."
Smashing Pumpkin,Smashing_PumpkinH.webp,Solar,6,6,6,Squash,,Plant,Common,Basic,
Smoosh-Shroom,Smoosh-ShroomH.webp,Smarty,5,5,4,Mushroom,,Plant,Common,Basic,
Snake Grass,Snake_GrassH.webp,Smarty,4,4,2,"Leafy, Animal",Amphibious,Plant,Event,Event,
Snapdragon,SnapdragonH.webp,Smarty,4,3,3,"Dragon, Flower","Amphibious, Splash Damage",Plant,Super-Rare,Premium,
Snow Pea,Snow_PeaH.webp,Smarty,2,2,2,Pea,Freeze,Plant,Common,Basic,
Snowdrop,SnowdropH.webp,Smarty,1,1,2,Flower,,Plant,Common,Basic,
Solar Winds,Solar_WindsH.webp,Solar,3,,,,,Environment,Super-Rare,Galactic,
Sonic Bloom,Sonic_BloomH.webp,Kabloom,4,3,1,Flower,,Plant,Event,Event,Victory faster than the speed of sound.
Soul Patch,Soul_PatchH.webp,Guardian,6,5,10,"Flower, Root",Armored,Plant,Legendary,Premium,Has been gently encouraging Cherry Bomb and Sour Grapes to attend his meditation class.
Sour Grapes,Sour_GrapesH.webp,Kabloom,4,2,2,Berry,,Plant,Rare,Premium,Sour. Bitter. Resentful. It's all true. But he's got his reasons.
Sow Magic Beans,Sow_Magic_BeansH.webp,Smarty,2,,,"Leafy, Bean",,Trick,Super-Rare,Premium,
Spikeweed Sector,Spikeweed_SectorH.webp,Guardian,3,,,Root,,Environment,Uncommon,Galactic,Quite similar to the region known as Pokey Province.
Spineapple,SpineappleH.webp,Guardian,3,0,3,Fruit,,Plant,Common,Basic,Don't let his gruff exterior fool you. He's always looking out for the little guy.
Split Pea,Split_PeaH.webp,Mega-Grow,2,4,1,Pea,,Plant,Super-Rare,Colossal,
Sportacus,SportacusH.webp,Smarty,3,3,3,"Mushroom, Nut",,Plant,Event,Event,
Spring Bean,Spring_BeanH.webp,Smarty,3,,,Bean,Bounce,Trick,Uncommon,Premium,
Spyris,SpyrisH.webp,Smarty,1,2,1,"Flower, Root",Amphibious,Plant,Event,Event,
Squash,SquashH.webp,Solar,5,,,Squash,,Trick,Common,Basic,
Starch-Lord,Starch-LordH.webp,Guardian,4,2,4,Root,Conjure,Plant,Rare,Galactic,His destiny is written in the starch.
Steel Magnolia,Steel_MagnoliaH.webp,Guardian,3,3,2,Flower,,Plant,Uncommon,Premium,She's got nerves of steel... and everything else of steel!
Sting Bean,Sting_BeanH.webp,Guardian,1,1,2,"Bean, Pea","Amphibious, Bullseye, Team-Up",Plant,Common,Basic,"""I try to warn them, 'This is going to sting.' But the Zombies, they never listen."""
Storm Front,Storm_FrontH.webp,Kabloom,1,,,Superpower,,Trick,Super-Rare,Superpower,Bad for your picnic. Good for your plants.
Strawberrian,StrawberrianH.webp,Kabloom,3,3,2,Berry,Evolution,Plant,Super-Rare,Triassic,"When it's time to fight, he gets pretty juiced."
Sun-Shroom,Sun-ShroomH.webp,Solar,1,0,2,Mushroom,Team-Up,Plant,Event,Event,
Sunburn,SunburnH.webp,"Solar, Kabloom",1,,,"Flower, Superpower",,Trick,Legendary,Premium,Solar Flare never met a sunscreen strong enough to stop her.
Sunflower,SunflowerH.webp,Solar,1,0,1,Flower,Team-Up,Plant,Common,Basic,
Sunflower Seed,Sunflower_SeedH.webp,Solar,2,2,2,"Flower, Seed",,Plant,Super-Rare,Colossal,
Sunnier-Shroom,Sunnier-ShroomH.webp,Solar,3,0,3,Mushroom,Team-Up,Plant,Uncommon,Triassic,
Super-Phat Beets,Super-Phat_BeetsH.webp,Mega-Grow,6,4,4,Root,,Plant,Rare,Premium,"When he drops the beet, everyone feels it. Especially the Zombies."
Sweet Pea,Sweet_PeaH.webp,Mega-Grow,2,2,3,Pea,,Plant,Uncommon,Galactic,"Zombies may only have four teeth left, but one of them's a sweet tooth."
Sweet Potato,Sweet_PotatoH.webp,Mega-Grow,1,0,3,Root,Team-Up,Plant,Uncommon,Premium,Loves unicorns and rainbows... and watching cats on the Internet.
Tactical Cuke,Tactical_CukeH.webp,Solar,5,,,Fruit,,Trick,Super-Rare,Galactic,
Tater Toss,Tater_TossH.webp,"Kabloom, Guardian",1,,,"Root, Superpower",,Trick,Legendary,Premium,"Spudow is one tranquil tuber. Still, sometimes he loses his head."
The Great Zucchini,The_Great_ZucchiniH.webp,Smarty,9,7,7,Squash,Amphibious,Plant,Legendary,Premium,
The Podfather,The_PodfatherH.webp,Mega-Grow,3,2,3,Pea,,Plant,Rare,Premium,"""It ain't easy keeping the peas in this family."""
The Red Plant-It,The_Red_Plant-ItH.webp,Mega-Grow,5,,,Root,,Environment,Super-Rare,Galactic,
Three-Headed Chomper,Three-Headed_ChomperH.webp,Solar,6,6,6,Flytrap,,Plant,Legendary,Premium,
Three-Nut,Three-NutH.webp,Guardian,3,3,2,"Pea, Nut",,Plant,Super-Rare,Colossal,They say two heads are better than one. Three-Nut just took the next evolutionary step.
Threepeater,ThreepeaterH.webp,Smarty,5,1,5,Pea,,Plant,Common,Basic,
Time to Shine,Time_to_ShineH.webp,Mega-Grow,1,,,Superpower,Bonus-Attack,Trick,Super-Rare,Superpower,"Makes you feel all warm, glowy, and like kickin' Zombie butt."
Toadstool,ToadstoolH.webp,Solar,6,4,5,"Mushroom, Animal",,Plant,Event,Event,
Torchwood,TorchwoodH.webp,Mega-Grow,1,0,3,Tree,Team-Up,Plant,Common,Basic,"""Feel the burn, I COMMAND YOU!"""
Tough Beets,Tough_BeetsH.webp,Guardian,5,2,2,Root,Armored,Plant,Rare,Premium,He grew up on the wrong side of the garden.
Transfiguration,TransfigurationH.webp,Kabloom,4,4,7,"Leafy, Fruit",,Plant,Event,Event,"""By Heisenberg's Uncertainty Principle, if you look at a Plant too closely, you actually change what that Plant is..."""
Transmogrify,TransmogrifyH.webp,Smarty,1,,,Superpower,,Trick,Super-Rare,Superpower,"It's a life-changing experience. Actually, it's an everything-changing experience."
Tricarrotops,TricarrotopsH.webp,Guardian,2,1,2,"Root, Animal","Bullseye, Dino-Roar",Plant,Legendary,Colossal,Beta-Carrotina tracked Huge-Gigantacus all the way down the Meteor-Z-carved tunnel to Hollow Earth. Carrots there had evolved in a very different direction.
Tricorn,TricornH.webp,Smarty,6,2,6,Nut,Evolution,Plant,Rare,Colossal,
Twin Sunflower,Twin_SunflowerH.webp,Solar,2,0,2,Flower,Team-Up,Plant,Super-Rare,Premium,
Typical Beanstalk,Typical_BeanstalkH.webp,Mega-Grow,3,3,3,"Leafy, Bean",Conjure,Plant,Uncommon,Triassic,"""Everyone's magic in their own special way. Everyone except me."""
Umbrella Leaf,Umbrella_LeafH.webp,Mega-Grow,1,0,2,"Leafy, Flower","Team-Up, Untrickable",Plant,Uncommon,Colossal,She's not very frond of getting wet.
Uncrackable,UncrackableH.webp,"Guardian, Solar",1,,,"Nut, Superpower",Draw,Trick,Legendary,Premium,"Wall-Knight laughs, ""A thousand broken nutcrackers tell the story."""
Vanilla,VanillaH.webp,Smarty,3,3,3,"Bean, Flower",,Plant,Uncommon,Premium,
Vegetation Mutation,Vegetation_MutationH.webp,Mega-Grow,2,,,Pea,,Trick,Uncommon,Galactic,Environmentalism at its finest.
Veloci-Radish Hatchling,Veloci-Radish_HatchlingH.webp,Kabloom,1,1,2,"Root, Animal",Dino-Roar,Plant,Uncommon,Triassic,The root of all primeval.
Veloci-Radish Packmate,Veloci-Radish_PackmateH.webp,Kabloom,3,1,3,"Root, Animal",Dino-Roar,Plant,Legendary,Triassic,"Dedicated pack hunters, one roars a distraction while the other strikes from the side."
Venus Flytrap,Venus_FlytrapH.webp,Solar,3,3,1,Flytrap,Heal,Plant,Uncommon,Premium,
Venus Flytraplanet,Venus_FlytraplanetH.webp,Solar,4,,,Flytrap,Heal,Environment,Uncommon,Galactic,
Wall-Nut,Wall-NutH.webp,Guardian,1,0,6,Nut,Team-Up,Plant,Common,Basic,"Works well with others. Says so, right there on his resume."
Wall-Nut Bowling,Wall-Nut_BowlingH.webp,Guardian,8,,,Nut,,Trick,Legendary,Premium,Ugly shoes not required!
Water Balloons,Water_BalloonsH.webp,Solar,2,,,,,Trick,Uncommon,Premium,
Water Chestnut,Water_ChestnutH.webp,Guardian,2,0,8,"Root, Nut","Amphibious, Team-Up",Plant,Uncommon,Premium,"""300 laps a day, every day. That's how I do it."""
Weed Whack,Weed_WhackH.webp,Solar,1,,,"Root, Superpower",,Trick,Super-Rare,Superpower,Good for weeding out Zombies.
Weenie Beanie,Weenie_BeanieH.webp,Smarty,1,1,1,Bean,,Plant,Common,Basic,
Whack-a-Zombie,Whack-a-ZombieH.webp,Solar,3,,,,,Trick,Rare,Premium,
Whipvine,WhipvineH.webp,Mega-Grow,5,6,5,Root,,Plant,Rare,Premium,"""Get along, little Zombie."""
Whirlwind,WhirlwindH.webp,Smarty,1,,,Superpower,Bounce,Trick,Super-Rare,Superpower,There's no place like home. There's no place like home.
Wild Berry,Wild_BerryH.webp,Kabloom,2,4,1,Berry,Anti-Hero,Plant,Rare,Premium,"What one word best describes Wild Berry? ""Unpredictable."""
Wing-Nut,Wing-NutH.webp,Solar,4,3,7,"Pea, Nut",,Plant,Super-Rare,Galactic,
Winter Melon,Winter_MelonH.webp,Smarty,6,4,5,Fruit,"Splash Damage, Freeze",Plant,Legendary,Premium,
Winter Squash,Winter_SquashH.webp,Smarty,4,2,6,Squash,,Plant,Super-Rare,Premium,
Witch Hazel,Witch_HazelH.webp,Smarty,4,0,3,Flower,,Plant,Event,Event,
Zapricot,ZapricotH.webp,Kabloom,3,4,1,Fruit,,Plant,Common,Basic,"""Some say that Zombies aren't easily shocked. I beg to differ."""
